index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,Risk Score,0.04835321064062559,0.6491431518189545,0.6497973358269352,0.19799520546589147,0.8505530248315527,20,249
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,Buy & Hold,0.07595666759538178,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,Constant Exposure - Train Fixed,0.047290611358383416,0.615639502163596,0.6154546834349645,0.6083240238625087,0.6186131010753934,1,0
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,MA200,0.07595666759538178,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,MA20/MA60,0.06367425035667429,1.0,1.0,0.19755170211310832,1.0,4,6
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,Volatility Targeting,0.06950716096013876,0.6532874418564916,0.7006883752461446,0.7006883752461446,1.0,34,633
CSI300,沪深300,CSI300-sideways_market-020,sideways_market,2024-12-05,2024-12-05,2025-03-07,Risk Score,0.04208303022644455,0.7703554313979608,0.6503562494886317,0.39316984907073455,0.8499711960685303,20,249
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,Buy & Hold,0.1049151556742759,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,Constant Exposure - Train Fixed,0.0659426635944107,0.619326227149929,0.6176607204870643,0.6130840348995868,0.6184159338580318,0,0
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,MA200,0.10491515567427612,1.0,1.0,0.19940223465661877,1.0,2,43
